Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results
chai tea nyc,Commercial,260,"0.67,0.67,0.67,1.00,0.43,0.22,0.35,0.28,0.67,0.43,0.22,0.43",28,1.76,0.10,7090000
chai tea ok during pregnancy,Informational,260,"0.36,0.36,1.00,0.44,0.44,0.29,0.36,0.23,0.36,0.15,0.19,0.44",16,0.00,0.00,445000
chai with green tea,Informational,260,"0.00,0.00,0.00,0.01,0.81,0.36,1.00,0.02,0.01,0.12,0.10,0.00",16,0.70,1.00,113000000
dirty chai tea latte recipe,Informational,260,"0.23,0.23,0.44,0.35,0.28,0.23,0.44,0.81,0.81,1.00,0.81,0.81",20,0.04,0.01,2560000
does chai tea have caffine,Informational,260,"0.28,0.23,1.00,0.23,0.28,0.81,0.67,0.67,0.23,0.44,0.54,0.01",27,0.11,0.00,14600000
does chai tea latte contain caffeine,Informational,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",22,0.00,0.00,2630000
drinking chai tea during pregnancy,Informational,260,"0.36,0.36,1.00,0.44,0.44,0.29,0.36,0.23,0.36,0.15,0.19,0.44",16,0.00,0.00,831000
herbal chai tea,Commercial,260,"0.28,0.28,0.81,0.44,0.54,1.00,0.54,0.54,0.44,0.35,0.35,0.23",19,0.57,1.00,15500000
how many calories in a chai tea latte,Informational,260,"0.12,0.12,0.12,0.09,0.12,0.66,0.54,0.81,0.36,1.00,0.54,0.66",19,0.00,0.00,
how much caffeine does chai tea latte have,Informational,260,"0.23,0.44,0.66,0.23,0.28,0.35,0.35,0.28,0.44,0.66,1.00,0.81",18,0.00,0.00,7400000
how to make chai latte with tea bags,Informational,260,"0.22,0.43,0.54,0.54,0.66,1.00,1.00,0.54,0.54,0.43,0.35,0.29",22,0.38,0.02,4230000
how to make chai tea latte from starbucks,Informational,260,"0.67,0.53,0.22,0.29,0.36,0.13,0.53,0.22,0.36,0.44,0.11,1.00",23,0.43,0.01,8150000
how to make chai tea latte with tea bag,Informational,260,"0.54,0.44,0.15,0.28,1.00,0.44,1.00,0.23,0.28,0.28,0.18,0.23",22,0.11,0.01,9920000
how to make indian chai tea,Informational,260,"0.43,0.66,0.53,0.66,0.82,0.66,0.66,0.53,1.00,0.43,0.43,0.53",23,0.08,0.03,24000000
iced chai tea latte calories,Informational,260,"1.00,0.66,0.81,0.54,0.54,0.43,0.35,0.54,0.35,0.43,0.43,0.43",26,0.00,0.01,7230000
iced chai tea latte nutrition starbucks,"Informational, Transactional",260,"0.54,1.00,0.54,0.35,0.35,0.18,0.28,0.28,0.44,0.00,0.00,0.00",25,0.51,0.02,278000
iced chai tea latte starbucks calories,Navigational,260,"0.54,1.00,0.54,0.35,0.35,0.18,0.28,0.44,0.15,0.23,0.06,0.23",24,1.09,0.01,81
is chai tea latte coffee,Informational,260,"0.28,0.36,0.44,0.36,1.00,0.44,0.54,0.67,0.28,0.15,0.44,0.36",18,0.00,0.00,22000000
masala chai tea caffeine content,Informational,260,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.65",16,0.00,0.00,418000
pumpkin chai tea latte recipe,Informational,260,"0.03,0.05,0.54,1.00,0.81,0.44,0.19,0.10,0.05,0.05,0.07,0.07",24,0.00,0.01,4950000
pumpkin spice chai tea,Informational,260,"0.05,0.09,0.65,1.00,0.82,0.36,0.44,0.36,0.18,0.18,0.15,0.15",17,1.09,1.00,6360000
quick tea masala chai,Transactional,260,"0.29,0.15,0.19,0.36,0.36,0.29,0.36,0.44,0.29,0.29,1.00,0.81",20,0.17,1.00,4170000
rooibos chai tea benefits,Informational,260,"0.43,0.54,0.43,0.43,0.43,0.43,0.66,1.00,0.54,0.43,0.54,0.43",26,0.04,0.17,1030000
starbucks calories iced chai tea latte,"Informational, Transactional",260,"0.54,1.00,0.54,0.35,0.35,0.18,0.28,0.28,0.44,0.35,0.81,1.00",24,1.09,0.01,822000
starbucks chai tea latte price,Informational,260,"0.11,0.09,0.17,0.21,0.11,1.00,0.72,0.26,0.17,0.11,0.21,0.21",23,0.47,0.06,3580000
starbucks iced chai tea latte calories,Informational,260,"0.82,1.00,0.66,0.53,0.66,0.43,0.43,0.66,0.82,0.82,1.00,1.00",27,1.09,0.01,68
starbucks pumpkin spice chai tea latte,Informational,260,"0.09,0.15,0.45,0.67,1.00,0.36,0.12,0.15,0.12,0.12,0.07,0.12",16,0.00,0.02,1620000
tazo pumpkin spice chai tea,"Informational, Transactional",260,"0.02,0.09,0.07,1.00,1.00,0.54,0.28,0.28,0.15,0.15,0.15,0.09",28,0.27,1.00,88900
thai tea vs chai tea,"Informational, Commercial",260,"0.65,0.65,0.65,1.00,0.81,0.65,0.81,1.00,0.81,1.00,0.81,0.81",26,0.00,0.00,92
trader joe's spicy chai tea latte mix 10 oz,"Informational, Commercial",260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",25,0.00,0.00,59
turmeric chai tea,Commercial,260,"0.43,0.43,0.65,0.65,1.00,0.81,0.81,1.00,0.81,0.81,0.52,0.52",15,0.87,1.00,8430000
venti chai tea latte calories,Informational,260,"0.80,0.65,0.65,0.80,1.00,0.65,0.65,1.00,0.52,0.65,0.52,0.65",15,0.63,0.02,56
what is masala chai tea,Informational,260,"0.23,0.19,0.23,0.36,1.00,0.15,0.15,0.15,1.00,0.54,0.36,0.54",23,0.17,0.06,11100000
best chai tea latte mix,Commercial,210,"0.34,0.43,0.28,0.65,0.65,1.00,1.00,0.43,0.65,0.52,0.65,0.43",24,0.32,0.96,
best chai tea mix,Commercial,210,"0.28,0.28,0.35,0.53,0.53,0.82,1.00,0.66,0.66,0.53,0.28,0.53",20,0.32,0.96,31200000
buy chai tea,Transactional,210,"0.12,0.10,0.23,0.67,0.54,1.00,0.12,0.10,0.07,0.07,0.07,0.07",26,0.81,0.87,113000000
calories iced chai tea latte starbucks,"Informational, Transactional",210,"0.54,1.00,0.54,0.35,0.35,0.18,0.28,0.28,0.18,0.08,0.06,0.11",29,1.09,0.01,808000
calories in a chai tea latte,Informational,210,"0.23,0.44,0.18,1.00,0.23,0.23,0.35,0.35,0.23,0.23,0.18,0.11",21,1.18,0.01,
calories in a starbucks iced chai tea latte,"Informational, Transactional",210,"0.54,1.00,0.54,0.35,0.35,0.18,0.28,0.28,0.44,0.00,0.00,0.00",26,1.09,0.01,2250000
calories in iced chai tea latte starbucks,"Informational, Transactional",210,"0.54,1.00,0.54,0.35,0.35,0.18,0.28,0.28,0.44,0.00,0.00,0.00",25,1.09,0.01,85
chai ho jai - the tea room. naperville reviews,Commercial,210,"0.18,0.22,1.00,0.66,0.54,0.54,0.54,0.66,0.43,0.43,0.35,0.29",25,0.00,0.00,24
chai tea cold brew,Informational,210,"0.80,0.80,0.80,0.65,0.65,1.00,0.65,0.65,0.53,0.65,0.65,0.65",22,0.71,0.91,14600000
chai tea decaffeinated,Transactional,210,"0.05,0.15,0.05,1.00,0.12,0.00,0.00,0.01,0.67,0.10,0.44,0.36",15,0.58,0.81,1290000
chai tea loose leaf,Transactional,210,"0.14,0.22,0.06,0.02,0.22,1.00,0.66,0.43,0.54,0.66,0.81,0.35",16,0.96,1.00,5340000
chai tea with almond milk,Informational,210,"0.42,0.65,0.80,0.80,0.80,0.80,0.80,1.00,0.80,0.80,0.53,0.65",15,0.00,0.23,13600000
chai vanilla tea,"Informational, Transactional",210,"0.07,0.02,0.02,0.02,1.00,0.07,0.02,0.30,0.02,0.00,0.02,0.00",18,0.58,1.00,22100000
cold brew chai tea,Informational,210,"0.80,1.00,1.00,1.00,1.00,1.00,0.53,0.65,0.53,0.65,0.80,0.65",16,0.71,0.91,17000000
david rio chai tea tiger spice,"Informational, Transactional",210,"0.53,0.65,1.00,0.53,0.53,0.65,0.81,0.43,0.65,0.34,0.34,0.53",23,0.48,1.00,144000
does a chai tea latte have coffee in it,Informational,210,"0.35,0.35,0.43,0.43,0.54,0.35,0.35,0.43,0.54,1.00,0.81,0.43",19,0.00,0.00,27100000
does chai tea have sugar,Informational,210,"0.43,0.35,0.35,0.53,0.53,0.43,0.35,1.00,0.43,0.66,0.43,0.43",18,0.00,0.00,37800000
how long to steep chai tea,Informational,210,"0.34,0.43,0.43,0.52,0.80,1.00,0.80,1.00,0.65,0.65,0.52,0.52",28,0.00,0.00,2670000
how much caffeine in a chai tea latte,Informational,210,"0.65,0.65,0.80,0.80,0.80,0.80,0.80,1.00,0.80,1.00,0.80,0.65",21,6.88,0.00,7760000
how much sugar is in a chai tea latte,Informational,210,"0.53,0.53,0.64,0.64,1.00,0.81,0.81,1.00,0.81,0.81,0.64,0.64",27,0.00,0.00,19200000
how to make an iced chai tea latte from starbucks,Informational,210,"0.82,0.82,1.00,0.65,0.53,0.33,0.53,0.44,0.53,0.15,0.33,1.00",26,0.00,0.00,4310000
iced chai tea latte starbucks recipe,Informational,210,"0.64,0.42,0.64,1.00,0.33,0.53,0.33,1.00,0.64,0.81,0.64,0.42",29,0.00,0.00,5800000
is a chai latte tea or coffee,Informational,210,"0.28,0.43,0.66,0.82,0.82,0.53,0.82,1.00,0.66,0.23,0.23,0.43",17,0.00,0.00,26900000
is chai coffee or tea,Informational,210,"0.23,0.35,0.66,1.00,0.82,1.00,0.66,0.53,0.43,0.82,0.66,0.35",20,0.00,0.00,58300000
is chai latte tea or coffee,Informational,210,"0.28,0.23,0.53,0.82,0.82,0.17,0.35,0.28,0.53,1.00,0.66,0.35",23,0.00,0.00,26700000
is chai tea ok during pregnancy,Informational,210,"0.22,0.67,1.00,0.35,0.00,0.54,0.81,0.35,0.19,0.22,0.19,1.00",16,0.00,0.00,93
loose chai tea,Transactional,210,"0.42,0.65,0.65,0.65,0.65,1.00,1.00,1.00,0.80,1.00,0.65,0.53",17,0.60,1.00,8920000
oregon chai tea sugar free,Commercial,210,"0.34,0.52,0.80,0.80,0.52,0.52,0.65,0.52,1.00,0.80,0.65,1.00",16,0.22,1.00,356000
oregon trail chai tea,Commercial,210,"0.64,0.64,1.00,1.00,1.00,1.00,1.00,0.80,1.00,0.80,1.00,1.00",29,0.29,1.00,62
persian chai tea,Informational,210,"0.00,0.00,0.00,0.00,0.54,0.24,1.00,0.00,0.00,0.00,0.00,0.00",16,0.29,0.86,2510000
purchase chai tea,Transactional,210,"0.12,0.09,0.19,0.81,1.00,0.54,0.12,0.09,0.09,0.09,0.09,0.09",20,0.67,0.77,9800000
rishi masala chai tea,"Informational, Transactional",210,"0.80,0.13,0.18,1.00,0.13,0.22,0.67,0.11,0.00,0.00,0.02,0.07",15,0.76,1.00,157000
spiced chai tea mix recipe,Informational,210,"0.28,0.35,0.35,1.00,0.82,1.00,0.53,0.66,0.28,0.12,1.00,0.28",29,0.00,0.03,1710000
spiced chai tea trader joe's,"Informational, Transactional",210,"0.43,0.53,0.81,0.81,1.00,0.53,0.53,0.43,0.67,0.00,0.27,0.81",24,0.00,0.00,2540000
starbucks chai tea nutrition facts,"Informational, Transactional",210,"0.34,0.34,0.81,1.00,0.65,0.53,0.53,0.81,0.53,0.65,0.65,0.34",24,0.85,0.07,77
starbucks iced chai tea latte nutrition,"Informational, Transactional",210,"0.28,0.54,0.35,0.35,0.35,0.18,0.28,0.35,0.35,0.66,1.00,0.28",21,0.51,0.02,81
teavana chai tea concentrate,"Informational, Transactional",210,"0.31,0.23,0.38,0.31,0.54,0.23,0.31,0.85,1.00,0.85,0.85,0.85",20,0.20,1.00,45
tiger chai tea,Commercial,210,"0.53,0.65,0.80,0.80,0.80,0.80,1.00,1.00,0.80,1.00,0.80,0.53",15,0.62,1.00,4920000
trader joe's spiced chai tea,"Informational, Transactional",210,"0.43,0.54,0.81,0.81,1.00,0.54,0.54,0.43,0.67,0.00,0.28,0.81",24,0.00,0.00,61
vanilla chai tea bags,Transactional,210,"0.15,0.15,0.28,0.35,0.35,0.81,0.66,1.00,0.35,0.28,0.28,0.28",21,0.71,1.00,4310000
vanilla chai tea recipe,Informational,210,"0.29,0.29,0.43,0.29,0.54,0.66,0.66,1.00,0.54,0.54,0.35,0.35",18,0.00,0.01,16500000
amount of caffeine in chai tea latte,Informational,170,"0.22,0.29,0.35,0.18,0.22,0.35,0.35,1.00,0.22,0.02,0.22,0.81",24,1.63,0.00,7430000
caffeine in coffee vs chai tea,"Informational, Commercial",170,"0.54,0.35,0.35,1.00,0.28,0.35,0.54,0.81,0.28,0.17,0.28,0.67",20,0.00,0.00,
calories in a iced chai tea latte,Informational,170,"1.00,0.82,1.00,0.53,0.53,0.27,0.33,0.27,0.65,0.15,0.33,1.00",29,0.00,0.01,2930000
chai black tea,"Informational, Transactional",170,"0.08,0.11,0.15,0.18,0.18,0.18,1.00,0.23,0.35,0.44,0.28,0.35",20,0.73,1.00,73200000
chai ho jai the tea room,"Informational, Transactional",170,"1.00,1.00,1.00,1.00,0.80,1.00,1.00,0.80,0.66,0.80,0.66,1.00",24,0.00,0.07,50
chai latte recipe with chai tea bag,Informational,170,"0.34,0.43,0.65,1.00,0.65,0.34,0.43,0.43,0.53,0.43,0.43,0.65",26,0.00,0.01,7990000
chai tea black tea,Transactional,170,"0.07,0.09,0.09,0.21,0.14,0.11,0.17,0.39,0.48,0.17,0.02,1.00",16,0.95,0.30,77400000
chai tea caffiene,Informational,170,"0.00,0.00,0.01,0.00,0.02,0.02,0.00,0.02,1.00,0.03,0.02,0.02",26,0.55,0.08,12400000
chai tea flavors,"Informational, Transactional",170,"0.28,0.17,0.28,0.66,1.00,0.28,0.35,0.23,0.12,0.53,0.23,0.28",24,0.54,0.69,20300000
chai tea frisco menu,Transactional,170,"1.00,0.02,0.02,0.02,0.02,0.02,0.02",22,0.00,0.14,98
chai tea in spanish,Informational,170,"0.53,0.34,0.53,0.65,0.65,1.00,0.65,0.65,0.53,0.53,0.43,0.53",22,0.00,0.00,11300000
chai tea latte price starbucks,Navigational,170,"0.80,0.52,0.65,0.52,0.52,0.34,1.00,0.43,0.34,0.28,0.28,0.80",28,0.47,0.06,3530000
chai tea latte starbucks price,Navigational,170,"0.81,0.54,0.14,0.18,0.08,1.00,0.66,0.29,0.18,0.18,0.08,0.08",15,0.64,0.05,97
chai tea latte syrup,"Informational, Commercial",170,"0.12,0.15,0.23,0.19,1.00,0.15,0.19,0.15,0.15,0.15,0.12,0.12",16,0.52,0.91,10500000
chai tea latte with espresso,Informational,170,"0.52,0.52,0.80,1.00,1.00,1.00,1.00,1.00,0.80,1.00,1.00,0.80",22,0.00,0.25,17100000
chai tea nutrition facts,Informational,170,"0.53,0.53,0.42,0.53,0.65,0.53,0.53,1.00,0.80,0.80,0.53,0.53",18,0.00,0.02,8920000
chai tea powder recipe,Informational,170,"0.42,0.42,0.53,1.00,0.80,1.00,1.00,0.80,0.65,0.65,0.53,0.53",19,0.00,0.04,16400000
chai tea recipe from starbucks,Informational,170,"0.00,0.00,1.00,0.81,1.00,0.64,0.64,0.42,0.81,0.03,0.42,1.00",21,0.66,0.01,6060000
chai tea set gift,Transactional,170,"0.10,0.15,0.15,0.10,0.12,0.23,1.00,0.19,0.07,0.03,0.07,0.15",21,1.42,1.00,12800000
chai tea syrup recipe,Informational,170,"0.35,0.10,0.17,0.28,0.28,0.28,1.00,0.66,0.53,0.43,0.43,0.35",17,0.00,0.00,14600000
cold chai tea recipe,Informational,170,"0.80,0.65,0.80,1.00,0.80,0.53,0.53,0.53,0.34,0.34,0.42,0.53",26,0.00,0.01,25600000
david rio tiger spice chai tea,"Informational, Transactional",170,"0.28,0.66,0.35,0.43,0.66,0.53,1.00,0.53,0.35,0.17,0.23,0.53",24,0.48,1.00,142000
does chai tea latte have coffee in it,Informational,170,"0.35,0.35,0.43,0.43,1.00,0.18,0.43,0.35,0.14,0.22,0.18,0.43",18,0.00,0.00,27300000
harney and sons chai tea,Transactional,170,"0.34,0.34,0.53,0.65,0.65,1.00,1.00,0.65,0.65,0.65,0.53,0.53",20,0.48,1.00,91
homemade chai tea mix,Informational,170,"0.28,0.21,0.34,0.65,0.80,0.65,1.00,0.65,0.52,0.43,0.34,0.21",25,0.00,0.26,16300000
how many calories in a chai tea latte starbucks,Informational,170,"0.65,0.65,0.65,0.53,0.27,0.33,0.65,0.44,0.21,0.33,0.44,1.00",27,1.09,0.07,91
how much caffeine in oregon chai tea,Informational,170,"0.53,0.65,0.80,0.80,1.00,0.80,0.53,0.65,0.65,0.65,0.65,0.65",16,0.00,0.00,93
how much caffeine is in chai tea latte,Informational,170,"0.43,1.00,0.71,0.57,0.71,0.71,1.00,0.57,1.00,1.00,0.43,1.00",21,6.88,0.00,7630000
how much sugar in a chai tea latte,Informational,170,"0.23,0.28,0.53,0.35,0.35,0.23,0.43,0.35,0.82,1.00,1.00,0.28",23,0.00,0.00,17100000
how much sugar in chai tea latte,Informational,170,"0.65,0.65,0.80,0.65,0.80,0.42,0.80,0.65,0.65,0.19,0.42,1.00",28,0.00,0.00,17300000
how much sugar is in chai tea latte,Informational,170,"0.43,0.05,0.43,0.17,0.23,0.17,0.28,0.28,1.00,1.00,0.82,0.43",25,0.00,0.00,21500000
how to make chai tea latte with tea bags,Informational,170,"0.64,0.64,0.41,0.64,0.80,1.00,0.18,1.00,1.00,0.64,0.34,0.41",22,0.11,0.01,5570000
how to make iced chai tea,Informational,170,"0.35,0.35,0.29,1.00,0.66,0.54,0.54,0.14,0.18,0.22,0.22,0.29",26,0.00,0.03,22700000
how to make vanilla chai tea,Informational,170,"0.53,0.66,0.66,0.81,0.66,0.81,1.00,1.00,0.66,1.00,0.81,0.66",15,0.00,0.02,19200000
is a chai tea latte good for you,Informational,170,"0.12,0.10,0.12,0.10,0.16,0.12,0.19,0.24,0.10,0.07,1.00,0.68",29,0.00,0.00,24800000
is chai tea acidic,Informational,170,"0.42,0.53,1.00,0.80,0.80,0.80,0.53,0.80,0.65,0.53,0.53,0.42",26,0.00,0.00,13300000
is chai tea latte caffeinated,Informational,170,"0.43,0.53,0.65,0.53,0.65,0.34,0.65,0.81,0.53,1.00,0.65,0.65",19,0.00,0.00,8710000
masala chai quik tea,"Informational, Transactional",170,"0.28,0.18,0.18,0.28,0.35,0.15,0.23,0.01,0.28,0.11,0.81,1.00",28,0.17,1.00,74
pumpkin chai tea latte,Informational,170,"0.00,0.10,0.80,1.00,0.50,0.30,0.10,0.00,0.00,0.00,0.20,0.20",18,0.00,0.17,6400000
starbucks venti chai tea latte calories,"Informational, Transactional",170,"0.42,0.66,0.80,0.80,1.00,0.80,0.80,1.00,1.00,0.80,0.52,0.80",27,1.17,0.02,57
stash chai green tea,"Informational, Transactional",170,"0.42,0.35,0.42,0.80,0.65,1.00,0.80,1.00,0.80,0.80,0.65,0.42",23,0.22,1.00,92
sugar free oregon chai tea,"Informational, Transactional",170,"0.65,0.65,0.65,1.00,0.65,0.33,0.65,0.43,0.43,0.11,0.28,0.11",16,0.23,1.00,2490000
tazo chai tea skinny,"Informational, Transactional",170,"0.29,0.29,0.54,0.29,0.22,1.00,0.29,0.35,0.10,0.54,0.22,0.54",26,0.24,1.00,35900
tazo decaf chai tea bags,"Informational, Transactional",170,"0.42,0.53,0.34,0.80,1.00,1.00,0.80,1.00,0.53,0.42,0.26,0.26",25,0.38,1.00,65
tazo skinny chai tea,Commercial,170,"0.22,0.29,0.54,0.35,0.22,1.00,0.29,0.35,0.35,0.18,0.22,0.08",19,0.24,1.00,36000
wagh bakri masala chai tea,Commercial,170,"0.44,0.44,0.44,0.33,0.82,0.33,0.53,1.00,0.82,0.82,0.82,0.82",17,0.19,1.00,476000
wawa chai tea,"Informational, Transactional",170,"0.52,0.66,0.66,0.80,0.80,1.00,1.00,0.80,0.80,0.80,0.80,1.00",20,0.00,0.08,54
what chai tea does starbucks use,Informational,170,"0.42,0.42,1.00,0.80,0.65,0.80,0.42,0.65,0.53,0.65,0.53,0.42",26,0.00,0.11,13100000
whole foods chai tea,Transactional,170,"0.54,0.65,0.65,0.81,0.65,0.81,0.65,1.00,0.65,0.65,0.54,0.54",23,1.27,1.00,13500000
almond milk chai tea latte,Informational,140,"0.65,0.65,0.65,0.29,1.00,0.82,0.65,1.00,0.82,1.00,0.82,0.65",16,0.00,0.23,5410000
calories in chai tea latte starbucks,"Informational, Transactional",140,"0.22,0.17,0.22,0.12,0.27,0.36,0.36,0.53,0.67,1.00,0.53,0.53",29,0.95,0.10,83
calories venti chai tea latte,Informational,140,"1.00,1.00,1.00,0.64,1.00,0.53,0.81,0.81,1.00,0.00,0.40,0.81",16,0.63,0.02,56
chai ginger tea,Informational,140,"0.06,0.01,0.06,0.00,0.00,0.03,1.00,0.03,0.01,0.01,0.10,0.00",28,0.00,0.79,24600000
chai tea brewing,Informational,140,"0.34,0.34,0.42,0.53,0.53,1.00,1.00,0.53,0.42,0.42,0.34,0.53",21,0.22,1.00,5410000
chai tea cake,Informational,140,"0.35,0.35,0.35,0.65,0.80,1.00,0.65,0.65,0.53,0.35,0.53,0.53",26,0.00,0.00,30200000
chai tea for pregnancy,Informational,140,"0.23,0.28,0.28,0.66,1.00,0.06,0.05,0.03,0.00,0.11,0.23,0.28",16,0.00,0.00,99
chai tea latte caffeine vs coffee,"Informational, Commercial",140,"0.32,0.52,0.52,0.82,0.82,0.82,0.82,1.00,0.66,0.43,0.32,0.43",16,0.00,0.00,7130000
chai tea latte does it have caffeine,Informational,140,"0.22,0.29,0.35,0.35,0.35,0.22,0.35,0.29,0.43,0.10,1.00,0.43",29,0.00,0.00,8020000
chai tea latte iced,Informational,140,"0.28,0.66,1.00,0.53,0.28,0.53,0.81,0.66,0.13,0.13,0.22,0.16",25,0.72,0.28,19300000
chai tea latte iced recipe,Informational,140,"1.00,0.52,0.31,1.00,0.66,0.31,1.00,1.00,0.52,0.41,0.52,0.79",26,0.55,0.01,13200000
chai tea latte recipe with chai tea bag,Informational,140,"0.43,0.53,1.00,0.81,0.81,0.81,0.66,0.66,0.33,0.33,0.81,0.81",27,0.00,0.01,3600000
chai tea latte recipe with tea bag,Informational,140,"0.42,0.65,0.80,1.00,1.00,1.00,0.80,0.18,0.15,0.11,0.08,0.08",25,0.00,0.04,6540000
chai tea latte taste,"Informational, Commercial",140,"0.34,0.34,0.53,0.65,0.65,0.42,0.42,0.53,0.53,1.00,0.53,0.53",25,0.00,0.01,13000000
chai tea menu,"Informational, Transactional",140,"0.10,0.12,0.02,0.10,1.00,0.12,0.05,0.05,0.07,0.07,0.05,0.07",28,0.00,0.01,68900000
chai tea mix trader joe's,Commercial,140,"0.52,0.52,1.00,0.82,1.00,0.52,0.66,0.66,0.82,0.00,0.43,0.82",25,0.00,0.00,447000
chai tea nespresso,"Informational, Commercial",140,"0.53,0.66,0.81,0.81,0.81,0.53,1.00,0.04,1.00,0.81,0.33,0.24",28,0.38,0.91,95
chai tea nutritional facts,Informational,140,"0.12,0.19,0.19,0.19,0.15,0.12,0.29,0.23,0.10,0.05,0.54,1.00",17,0.00,0.01,1350000
chai tea nutritional info,Informational,140,"0.53,0.53,0.43,0.43,0.53,1.00,0.43,0.43,0.53,0.66,0.43,0.81",17,0.00,0.02,13400000
chai tea nutritional information,Informational,140,"0.65,0.65,0.40,0.40,0.65,0.40,0.65,1.00,0.65,0.81,0.81,0.65",20,0.00,0.02,13400000
chai tea que es,Informational,140,"0.29,0.29,0.22,0.54,0.66,0.18,0.35,0.29,0.22,0.14,0.22,1.00",29,0.00,0.04,111000000
chai tea spice blend recipe,Informational,140,"0.34,0.34,0.53,0.80,0.80,1.00,1.00,0.65,0.34,0.42,0.42,0.42",15,0.00,0.05,12500000
chai tea spider man,"Informational, Transactional",140,"0.28,0.08,0.28,0.82,0.82,0.36,0.54,0.44,0.44,0.44,0.28,1.00",23,0.00,0.00,95
chai tea with turmeric,Informational,140,"0.07,0.00,0.00,0.80,0.65,1.00,0.80,0.11,1.00,1.00,0.11,0.11",16,0.64,1.00,7570000
chocolate chai tea latte,Informational,140,"0.34,0.42,0.53,0.42,0.42,0.34,1.00,1.00,0.65,1.00,0.80,0.80",17,1.44,0.88,17800000
dandelion chai probiotic tea,Commercial,140,"0.66,0.52,0.52,0.52,0.80,1.00,0.66,1.00,0.42,0.80,0.66,0.80",17,0.31,1.00,53
does a chai tea latte have caffeine in it,Informational,140,"0.52,0.66,0.80,0.80,0.80,0.80,0.80,0.66,0.66,0.42,0.52,1.00",18,0.00,0.00,7880000
does chai tea have more caffeine than coffee,Informational,140,"0.41,0.53,0.83,1.00,1.00,1.00,0.83,0.83,1.00,1.00,0.83,0.83",22,0.00,0.01,5590000
does dunkin have chai tea,Informational,140,"0.53,0.64,0.81,1.00,1.00,1.00,0.81,1.00,0.64,1.00,0.81,0.81",27,0.00,0.00,93
does oregon chai tea have caffeine,"Informational, Transactional",140,"0.67,0.67,0.67,0.81,0.81,1.00,0.67,0.67,0.81,0.33,0.67,0.67",15,0.00,0.01,86
ginger chai tea,Informational,140,"0.21,0.21,0.28,0.34,0.34,1.00,1.00,0.53,0.43,0.43,0.34,0.28",23,0.68,1.00,22200000
gingerbread chai tea latte,Informational,140,"0.10,0.13,0.20,0.13,0.17,0.53,1.00,0.20,0.10,0.13,0.13,0.10",16,0.00,0.71,1710000
good chai tea brands,Commercial,140,"0.23,0.17,0.23,0.23,0.28,1.00,0.82,0.28,0.28,0.10,0.23,0.53",23,0.28,0.89,52500000
healthy chai tea,Informational,140,"0.18,0.54,0.14,0.18,0.14,0.43,0.43,1.00,0.18,0.18,0.14,0.18",18,0.85,1.00,28200000
homemade iced chai tea latte,Informational,140,"0.81,0.81,0.81,1.00,0.53,0.32,0.23,0.43,0.53,0.66,0.43,0.66",24,0.00,0.11,6460000
how many calories in a starbucks chai tea latte,Informational,140,"0.42,0.53,0.35,0.42,0.35,0.35,0.80,0.65,0.53,1.00,0.80,1.00",25,1.09,0.07,69
how many calories is a chai tea latte,Informational,140,"0.41,0.65,0.54,0.33,1.00,0.26,0.80,0.80,0.54,0.33,0.19,1.00",20,0.00,0.00,11100000
how to make chai latte from tea bag,Informational,140,"0.33,0.43,0.33,0.43,0.52,0.33,1.00,0.33,0.52,0.15,0.28,0.28",26,0.43,0.02,9970000
how to make chai tea latte with chai tea bags,Informational,140,"0.33,0.43,0.43,0.52,0.43,0.33,1.00,0.33,0.52,0.15,0.28,0.28",16,0.43,0.02,5240000
how to make iced chai tea latte at home,Informational,140,"0.80,0.80,1.00,0.66,0.80,0.66,0.52,0.80,0.66,0.80,0.80,0.80",23,0.17,0.06,14600000
how to make starbucks chai tea,Informational,140,"0.53,0.53,0.83,1.00,0.83,1.00,0.83,1.00,0.83,0.83,0.83,0.65",22,0.00,0.00,9790000
iced chai tea latte nutrition,Informational,140,"0.35,0.43,0.43,0.43,1.00,0.17,0.28,0.35,0.17,0.23,0.28,0.82",23,0.00,0.01,5880000
iced chai tea recipe,Informational,140,"1.00,1.00,1.00,1.00,0.65,1.00,1.00,0.52,0.82,1.00,0.82,0.82",29,0.00,0.01,19300000
iced vanilla chai tea latte,Informational,140,"0.66,0.66,0.80,0.66,1.00,0.52,0.66,0.66,0.33,0.52,0.52,1.00",19,0.00,0.21,14700000
is chai an herbal tea,Informational,140,"0.52,0.52,0.42,1.00,0.33,0.80,0.66,0.66,0.33,0.80,0.52,0.80",15,0.00,0.00,17700000
is chai herbal tea,Informational,140,"0.34,0.34,0.65,0.53,0.53,1.00,0.53,0.43,0.28,0.12,0.28,0.65",15,0.00,0.00,16700000
keurig chai tea,"Informational, Transactional",140,"0.31,0.43,0.51,0.66,0.66,0.80,1.00,0.80,0.66,0.51,0.43,0.43",23,0.28,1.00,915000
